*.*.148.129,161,"Cisco Internetwork Operating System Software ..IOS (tm) Catalyst 4000 L3 Switch Software (cat4000-I9S-M), Version 12.1(20)EW2, EARLY DEPLOYMENT RELEASE SOFTWARE (fc1)..Technical Support: http://www.cisco.com/techsupport..Copyright (c) 1986-2004 by cisco S"
*.*.124.232,161,"RICOH Aficio 2027 1.04 / RICOH Network Printer C model / RICOH Network Scanner C model / RICOH Network Facsimile C model"
*.*.119.48,161,"A SNMP proxy agent, EEPROM 6026"
*.*.215.39,161,"Hardware: x86 Family 15 Model 2 Stepping 7 AT/AT COMPATIBLE - Software: Windows 2000 Version 5.0 (Build 2195 Multiprocessor Free)"
*.*.96.7,161,"Lantronix UDS 0504700 V5.8.0.1 (041112)"
*.*.0.248,161,"-- Unknown --"
*.*.217.28,161,"HP ETHERNET MULTI-ENVIRONMENT,ROM none,JETDIRECT,JD128,EEPROM V.28.59,CIDATE 05/10/2005"
*.*.136.41,161,"Hardware: x86 Family 6 Model 8 Stepping 6 AT/AT COMPATIBLE - Software: Windows 2000 Version 5.0 (Build 2195 Uniprocessor Free)"
*.*.188.249,161,"Hardware: x86 Family 6 Model 8 Stepping 6 AT/AT COMPATIBLE - Software: Windows 2000 Version 5.0 (Build 2195 Uniprocessor Free)"
*.*.24.180,161,"Hardware: x86 Family 6 Model 8 Stepping 6 AT/AT COMPATIBLE - Software: Windows 2000 Version 5.0 (Build 2195 Uniprocessor Free)"
*.*.254.244,161,"Hardware: x86 Family 6 Model 8 Stepping 6 AT/AT COMPATIBLE - Software: Windows 2000 Version 5.0 (Build 2195 Uniprocessor Free)"
*.*.33.217,161,"Hardware: x86 Family 6 Model 8 Stepping 6 AT/AT COMPATIBLE - Software: Windows 2000 Version 5.0 (Build 2195 Uniprocessor Free)"
*.*.54.144,161,"Hardware: x86 Family 6 Model 8 Stepping 6 AT/AT COMPATIBLE - Software: Windows 2000 Version 5.0 (Build 2195 Uniprocessor Free)"
*.*.59.116,161,"Hardware: x86 Family 6 Model 8 Stepping 6 AT/AT COMPATIBLE - Software: Windows 2000 Version 5.0 (Build 2195 Uniprocessor Free)"
*.*.62.244,161,"Hardware: x86 Family 6 Model 8 Stepping 6 AT/AT COMPATIBLE - Software: Windows 2000 Version 5.0 (Build 2195 Uniprocessor Free)"
*.*.102.220,161,"Canon Large Format W6200PG /P"
*.*.150.132,161,"Linux sver0027.tk.mesh.hidden.domain.foo 2.6.9-42.0.8.ELsmp #1 SMP Tue Jan 23 13:01:26 EST 2007 i686"
*.*.85.108,161,"Xerox WorkCentre Pro Multifunction System, ESS 0.C03.04.510.01, IOT 9.0.3, UI 0.1.4.509, Finisher 3.8.0, Scanner 1.4.0"
*.*.56.148,161,"HP ETHERNET MULTI-ENVIRONMENT,ROM G.07.19,JETDIRECT,JD33,EEPROM G.08.04"
*.*.82.189,161,"Konica IP Controller"
*.*.243.14,161,"SP660 Series"
*.*.249.200,161,"Prestige 660ME-61"
*.*.93.42,161,"Brix Networks, Inc. Brix 100 Verifier SNMPv1/SNMPv2c/SNMPv3 agent from SNMP Research, Inc."
*.*.200.5,161,"Sun SNMP Agent, Sun-Fire-V240"
*.*.70.44,161,"Hardware: x86 Family 6 Model 8 Stepping 6 AT/AT COMPATIBLE - Software: Windows 2000 Version 5.0 (Build 2195 Uniprocessor Free)"
*.*.222.244,161,"Hardware: x86 Family 6 Model 8 Stepping 6 AT/AT COMPATIBLE - Software: Windows 2000 Version 5.0 (Build 2195 Uniprocessor Free)"
